version	task	item1	item2	item3	item4
1	1	2	4	5	6
1	2	1	5	6	8
1	3	2	3	5	7
1	4	2	4	7	8
1	5	1	2	3	8
1	6	3	6	7	8
1	7	1	4	6	7
1	8	1	3	4	5
2	1	1	2	5	6
2	2	3	5	7	8
2	3	1	3	4	5
2	4	1	6	7	8
2	5	1	2	3	7
2	6	2	4	5	8
2	7	2	4	6	7
2	8	3	4	6	8
3	1	1	3	5	6
3	2	2	4	5	6
3	3	2	3	4	8
3	4	3	6	7	8
3	5	1	2	6	7
3	6	3	4	5	7
3	7	1	2	5	8
3	8	1	4	7	8
4	1	1	3	6	7
4	2	2	3	4	8
4	3	2	6	7	8
4	4	1	3	5	8
4	5	3	4	5	6
4	6	1	2	5	7
4	7	4	5	7	8
4	8	1	2	4	6
5	1	3	4	6	7
5	2	3	4	5	8
5	3	1	5	6	7
5	4	2	5	6	8
5	5	1	2	3	7
5	6	1	3	6	8
5	7	1	2	4	5
5	8	2	4	7	8
6	1	2	3	5	6
6	2	1	2	4	7
6	3	2	4	6	8
6	4	2	3	7	8
6	5	4	5	7	8
6	6	1	5	6	7
6	7	1	3	5	8
6	8	1	3	4	6
7	1	4	5	7	8
7	2	3	4	6	7
7	3	1	3	5	8
7	4	1	2	5	7
7	5	2	3	6	8
7	6	1	2	3	4
7	7	2	4	5	6
7	8	1	6	7	8
8	1	1	3	4	5
8	2	2	5	7	8
8	3	3	5	6	7
8	4	3	4	7	8
8	5	1	4	6	8
8	6	1	2	6	7
8	7	2	4	5	6
8	8	1	2	3	8
9	1	1	2	5	7
9	2	1	4	5	6
9	3	3	5	6	8
9	4	1	2	3	8
9	5	1	3	6	7
9	6	2	3	4	7
9	7	4	5	7	8
9	8	2	4	6	8
10	1	3	4	5	8
10	2	1	2	3	7
10	3	1	3	4	6
10	4	2	3	5	6
10	5	2	6	7	8
10	6	1	5	7	8
10	7	4	5	6	7
10	8	1	2	4	8
11	1	2	5	6	7
11	2	1	3	7	8
11	3	4	6	7	8
11	4	2	3	5	8
11	5	1	4	5	7
11	6	1	2	6	8
11	7	1	2	3	4
11	8	3	4	5	6
12	1	3	4	5	6
12	2	2	4	7	8
12	3	2	3	6	8
12	4	1	2	3	5
12	5	1	4	6	8
12	6	2	5	6	7
12	7	1	5	7	8
12	8	1	3	4	7
13	1	1	3	5	6
13	2	3	4	7	8
13	3	2	3	6	8
13	4	1	2	3	4
13	5	1	2	6	7
13	6	1	5	7	8
13	7	4	5	6	8
13	8	2	4	5	7
14	1	2	5	6	7
14	2	2	3	5	8
14	3	1	3	5	7
14	4	2	3	4	7
14	5	1	3	6	8
14	6	1	2	4	6
14	7	1	4	7	8
14	8	4	5	6	8
15	1	1	3	5	7
15	2	1	4	5	8
15	3	3	4	6	8
15	4	1	2	4	7
15	5	2	3	5	6
15	6	2	3	7	8
15	7	4	5	6	7
15	8	1	2	6	8
16	1	4	5	7	8
16	2	2	3	4	8
16	3	1	4	5	6
16	4	3	6	7	8
16	5	2	5	6	7
16	6	1	2	6	8
16	7	1	2	3	5
16	8	1	3	4	7
17	1	3	4	5	6
17	2	1	3	4	8
17	3	3	5	7	8
17	4	2	4	6	7
17	5	1	6	7	8
17	6	1	2	3	6
17	7	1	2	5	7
17	8	2	4	5	8
18	1	2	6	7	8
18	2	1	2	4	7
18	3	3	5	7	8
18	4	3	4	6	7
18	5	1	2	3	5
18	6	2	4	5	8
18	7	1	4	5	6
18	8	1	3	6	8
19	1	2	3	5	7
19	2	1	3	4	8
19	3	4	6	7	8
19	4	1	2	3	6
19	5	1	4	5	7
19	6	2	4	5	6
19	7	1	2	7	8
19	8	3	5	6	8
20	1	1	2	4	6
20	2	1	4	5	7
20	3	5	6	7	8
20	4	3	4	5	6
20	5	2	3	4	8
20	6	1	2	5	8
20	7	1	3	7	8
20	8	2	3	6	7
21	1	4	6	7	8
21	2	1	2	3	6
21	3	1	3	4	5
21	4	1	5	7	8
21	5	2	3	4	7
21	6	3	5	6	8
21	7	2	5	6	7
21	8	1	2	4	8
22	1	4	5	6	7
22	2	2	3	5	7
22	3	2	4	6	8
22	4	1	2	3	4
22	5	1	3	5	6
22	6	3	4	7	8
22	7	1	6	7	8
22	8	1	2	5	8
23	1	1	3	4	8
23	2	1	2	5	8
23	3	3	5	6	8
23	4	3	4	5	7
23	5	2	4	7	8
23	6	1	2	4	6
23	7	2	3	6	7
23	8	1	5	6	7
24	1	1	3	4	8
24	2	1	2	6	7
24	3	2	3	5	6
24	4	3	4	6	7
24	5	1	5	6	8
24	6	3	5	7	8
24	7	1	2	4	5
24	8	2	4	7	8
25	1	3	5	6	7
25	2	4	5	6	8
25	3	1	3	7	8
25	4	1	2	5	7
25	5	2	3	4	5
25	6	1	3	4	6
25	7	1	2	6	8
25	8	2	4	7	8
