version	task	item1	item2	item3	item4	item5
1	1	1	6	7	8	10
1	2	5	6	7	9	11
1	3	2	3	6	9	10
1	4	4	8	9	10	11
1	5	2	4	5	7	10
1	6	1	3	4	7	9
1	7	1	2	5	8	9
1	8	1	2	4	6	11
1	9	3	4	5	6	8
1	10	1	3	5	10	11
1	11	2	3	7	8	11
2	1	1	2	6	8	11
2	2	1	4	6	7	9
2	3	1	2	5	7	10
2	4	5	6	9	10	11
2	5	2	3	4	6	10
2	6	2	3	7	9	11
2	7	4	7	8	10	11
2	8	1	3	4	5	11
2	9	1	3	8	9	10
2	10	3	5	6	7	8
2	11	2	4	5	8	9
3	1	2	8	9	10	11
3	2	2	3	4	6	11
3	3	1	3	5	8	11
3	4	2	4	5	7	8
3	5	1	2	5	6	10
3	6	1	2	3	7	9
3	7	3	6	7	8	10
3	8	1	4	6	8	9
3	9	1	4	7	10	11
3	10	3	4	5	9	10
3	11	5	6	7	9	11
4	1	1	3	5	8	9
4	2	1	2	5	7	10
4	3	1	4	8	10	11
4	4	4	5	7	9	11
4	5	2	3	4	7	8
4	6	2	5	6	8	11
4	7	1	2	4	6	9
4	8	2	3	9	10	11
4	9	6	7	8	9	10
4	10	1	3	6	7	11
4	11	3	4	5	6	10
5	1	2	3	6	10	11
5	2	4	5	6	7	11
5	3	2	7	8	9	11
5	4	3	5	7	8	10
5	5	2	3	4	5	9
5	6	4	6	8	9	10
5	7	1	5	9	10	11
5	8	1	3	6	7	9
5	9	1	2	5	6	8
5	10	1	3	4	8	11
5	11	1	2	4	7	10
6	1	1	2	3	6	9
6	2	5	6	7	8	9
6	3	2	3	5	7	11
6	4	1	2	4	7	8
6	5	1	4	5	9	11
6	6	1	6	7	10	11
6	7	2	8	9	10	11
6	8	3	4	7	9	10
6	9	2	4	5	6	10
6	10	3	4	6	8	11
6	11	1	3	5	8	10
7	1	2	3	5	6	9
7	2	1	2	6	7	11
7	3	1	3	4	6	8
7	4	1	3	9	10	11
7	5	4	5	6	10	11
7	6	2	4	8	9	11
7	7	2	3	4	7	10
7	8	1	4	5	7	9
7	9	6	7	8	9	10
7	10	1	2	5	8	10
7	11	3	5	7	8	11
8	1	2	3	4	8	11
8	2	2	5	6	8	10
8	3	1	3	5	10	11
8	4	4	5	6	7	11
8	5	1	2	4	7	10
8	6	1	2	6	9	11
8	7	1	4	5	8	9
8	8	7	8	9	10	11
8	9	2	3	5	7	9
8	10	1	3	6	7	8
8	11	3	4	6	9	10
9	1	4	5	6	9	11
9	2	1	3	4	5	8
9	3	2	3	5	7	9
9	4	2	4	6	7	8
9	5	3	6	8	9	10
9	6	1	3	6	7	11
9	7	1	2	8	9	11
9	8	1	4	7	9	10
9	9	5	7	8	10	11
9	10	1	2	5	6	10
9	11	2	3	4	10	11
10	1	2	3	4	9	11
10	2	2	5	6	9	10
10	3	4	5	8	10	11
10	4	1	5	7	9	11
10	5	1	3	6	10	11
10	6	1	2	3	5	8
10	7	3	7	8	9	10
10	8	1	2	4	7	10
10	9	1	4	6	8	9
10	10	3	4	5	6	7
10	11	2	6	7	8	11
11	1	1	2	5	7	10
11	2	5	6	7	8	11
11	3	3	4	5	8	10
11	4	1	2	3	8	11
11	5	1	4	5	9	11
11	6	1	6	8	9	10
11	7	2	4	7	8	9
11	8	2	3	5	6	9
11	9	1	3	4	6	7
11	10	2	4	6	10	11
11	11	3	7	9	10	11
12	1	3	7	9	10	11
12	2	1	2	4	9	11
12	3	1	2	3	6	10
12	4	1	4	7	8	10
12	5	2	3	4	5	7
12	6	3	4	6	8	11
12	7	4	5	6	9	10
12	8	2	6	7	8	9
12	9	1	5	6	7	11
12	10	2	5	8	10	11
12	11	1	3	5	8	9
13	1	1	2	3	7	9
13	2	1	2	4	8	10
13	3	2	3	4	6	11
13	4	4	7	9	10	11
13	5	2	5	7	8	11
13	6	1	6	8	9	11
13	7	3	6	7	8	10
13	8	2	5	6	9	10
13	9	1	4	5	6	7
13	10	1	3	5	10	11
13	11	3	4	5	8	9
14	1	1	6	9	10	11
14	2	3	4	8	9	10
14	3	3	5	7	9	11
14	4	2	3	5	6	10
14	5	4	5	6	8	11
14	6	2	4	6	7	9
14	7	1	2	5	8	9
14	8	2	7	8	10	11
14	9	1	3	6	7	8
14	10	1	4	5	7	10
14	11	1	2	3	4	11
15	1	3	5	6	8	10
15	2	1	4	5	7	8
15	3	4	5	6	9	11
15	4	1	2	4	6	10
15	5	2	5	7	10	11
15	6	2	3	4	8	11
15	7	1	8	9	10	11
15	8	2	6	7	8	9
15	9	1	3	6	7	11
15	10	3	4	7	9	10
15	11	1	2	3	5	9
16	1	4	5	7	8	11
16	2	1	2	4	10	11
16	3	1	3	5	8	10
16	4	6	8	9	10	11
16	5	2	5	7	9	10
16	6	1	4	5	6	9
16	7	3	4	6	7	10
16	8	2	3	5	6	11
16	9	1	2	6	7	8
16	10	1	3	7	9	11
16	11	2	3	4	8	9
17	1	1	2	3	5	7
17	2	3	4	6	7	10
17	3	2	6	7	8	11
17	4	1	5	6	8	10
17	5	2	4	5	10	11
17	6	3	5	6	9	11
17	7	2	3	8	9	10
17	8	1	3	4	8	11
17	9	1	2	4	6	9
17	10	4	5	7	8	9
17	11	1	7	9	10	11
18	1	1	3	6	7	8
18	2	4	5	6	8	9
18	3	3	4	7	9	10
18	4	2	3	5	6	10
18	5	1	2	4	8	10
18	6	1	3	4	5	11
18	7	2	3	8	9	11
18	8	1	6	9	10	11
18	9	1	2	5	7	9
18	10	5	7	8	10	11
18	11	2	4	6	7	11
19	1	6	7	8	10	11
19	2	1	2	3	6	11
19	3	3	4	5	8	11
19	4	1	3	7	8	9
19	5	3	5	6	9	10
19	6	2	3	4	7	10
19	7	1	4	5	6	7
19	8	1	4	9	10	11
19	9	2	4	6	8	9
19	10	1	2	5	8	10
19	11	2	5	7	9	11
20	1	2	5	7	9	11
20	2	2	3	8	10	11
20	3	4	5	6	8	11
20	4	1	2	3	4	5
20	5	3	4	7	8	9
20	6	1	3	6	7	11
20	7	1	4	9	10	11
20	8	1	5	7	8	10
20	9	3	5	6	9	10
20	10	1	2	6	8	9
20	11	2	4	6	7	10
21	1	5	7	8	9	11
21	2	1	4	6	8	11
21	3	1	4	5	7	10
21	4	2	3	4	5	11
21	5	1	2	9	10	11
21	6	1	2	3	7	8
21	7	3	4	8	9	10
21	8	2	4	6	7	9
21	9	1	3	5	6	9
21	10	2	5	6	8	10
21	11	3	6	7	10	11
22	1	3	7	8	9	11
22	2	1	5	6	9	11
22	3	1	3	6	7	10
22	4	1	4	8	10	11
22	5	2	5	7	10	11
22	6	3	4	5	9	10
22	7	4	5	6	7	8
22	8	2	6	8	9	10
22	9	2	3	4	6	11
22	10	1	2	4	7	9
22	11	1	2	3	5	8
23	1	1	5	8	9	10
23	2	1	3	6	7	9
23	3	4	5	7	9	11
23	4	1	2	4	7	8
23	5	1	2	5	6	11
23	6	6	7	8	10	11
23	7	1	3	4	10	11
23	8	2	3	5	7	10
23	9	2	4	6	9	10
23	10	2	3	8	9	11
23	11	3	4	5	6	8
24	1	1	2	4	5	8
24	2	5	6	8	10	11
24	3	1	2	6	7	10
24	4	1	3	4	6	11
24	5	1	7	8	9	11
24	6	2	3	5	7	11
24	7	3	4	7	8	10
24	8	4	5	6	7	9
24	9	1	3	5	9	10
24	10	2	4	9	10	11
24	11	2	3	6	8	9
25	1	2	6	7	9	10
25	2	3	4	6	9	11
25	3	1	2	3	4	10
25	4	4	5	6	8	10
25	5	1	2	6	8	11
25	6	2	3	5	8	9
25	7	1	3	5	6	7
25	8	3	7	8	10	11
25	9	1	4	7	8	9
25	10	2	4	5	7	11
25	11	1	5	9	10	11
